OGC_FID,dossiernr,voorwerp_van_aanvraag,klasse,naam_inrichting,straat_inrichting,huisnr_inrichting,huisnr_tot_inrichting,bus_inrichting,district_inrichting,postnr_inrichting,gemeente_inrichting,kadastergegevens,adres_nr
295,20027,de exploitatie van een nieuwe inrichting,2,Mutinvest C.V.B.A. met S.O.,*Emiel Vloorsstraat / Sint-Bernardsesteenweg,,,,AN,2020,Antwerpen,11809_I_2511_T_000_00,
296,20028,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,Agfa-Gevaert,Hendrik Kuypersstraat,,,,BE,2600,Antwerpen,11003_A_0366_H_002_00,
297,20028,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,Agfa-Gevaert,Hendrik Kuypersstraat,,,,BE,2600,Antwerpen,11003_A_0358_G_004_00,
298,20029,het hernieuwen van een vergunning voor een bestaande inrichting,2,Garage Ooms Renault,Heistraat,70,,,WI,2610,Antwerpen,11051_B_0163_G_004_00,Heistraat  70
299,20029,het hernieuwen van een vergunning voor een bestaande inrichting,2,Garage Ooms Renault,Heistraat,70,,,WI,2610,Antwerpen,11051_B_0163_A_006_00,Heistraat  70
300,20029,het hernieuwen van een vergunning voor een bestaande inrichting,2,Garage Ooms Renault,Heistraat,70,,,WI,2610,Antwerpen,11051_B_0163_P_005_00,Heistraat  70
301,20029,het hernieuwen van een vergunning voor een bestaande inrichting,2,Garage Ooms Renault,Heistraat,70,,,WI,2610,Antwerpen,11051_B_0163_E_006_00,Heistraat  70
302,20031,de melding van een nieuwe inrichting,3,,Mechelsesteenweg,198 B,,,AN,2018,Antwerpen,11810_K_1543_R_040_00,Mechelsesteenweg  198 B
303,20032,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",2,NMBS,Noorderlaan,630,,,AN,2030,Antwerpen,11817_G_0193_B_000_00,Noorderlaan  630
304,20033,de exploitatie van een nieuwe inrichting,2,,D'Herbouvillekaai,47,,,AN,2020,Antwerpen,11809_I_2704_E_000_00,D'Herbouvillekaai  47
305,20034,de exploitatie van een nieuwe inrichting,2,Nationale Maatschappij der Belgische Spoorwegen,Noorderlaan,630,,,AN,2030,Antwerpen,11817_G_0291_F_000_00,Noorderlaan  630
306,20035,wijzigen van de exploitatievoorwaarden,1,,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0120_T_000_00,Polderdijkweg  3
307,20035,wijzigen van de exploitatievoorwaarden,1,,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0134_F_003_00,Polderdijkweg  3
308,20035,wijzigen van de exploitatievoorwaarden,1,,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0134_G_003_00,Polderdijkweg  3
309,20035,wijzigen van de exploitatievoorwaarden,1,,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0051_F_000_00,Polderdijkweg  3
310,20035,wijzigen van de exploitatievoorwaarden,1,,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0038_L_000_00,Polderdijkweg  3
311,20035,wijzigen van de exploitatievoorwaarden,1,,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0305_C_002_00,Polderdijkweg  3
312,20035,wijzigen van de exploitatievoorwaarden,1,,Polderdijkweg,3,,,AN,2030,Antwerpen,11814_A_0375_B_000_02,Polderdijkweg  3
313,20037,de melding van een nieuwe inrichting,3,Aba Sales,Antwerpsebaan,216,,,BD,2040,Antwerpen,11819_C_0079_K_002_00,Antwerpsebaan  216
314,20037,de melding van een nieuwe inrichting,3,Aba Sales,Antwerpsebaan,216,,,BD,2040,Antwerpen,11819_C_0079_L_002_00,Antwerpsebaan  216
315,20037,de melding van een nieuwe inrichting,3,Aba Sales,Antwerpsebaan,216,,,BD,2040,Antwerpen,11819_C_0079_H_003_00,Antwerpsebaan  216
316,20038,de melding van de overname van een vergunde inrichting,1,,Terbekehofdreef,25,29,,,2610,Antwerpen,11463_D_0149_M_000_00,Terbekehofdreef  25
317,20039,ioniserende stralingen klasse 3,3,,Schupstraat,21,,,AN,2018,Antwerpen,11808_H_1176_S_018_00,Schupstraat  21
318,20041,de melding van een nieuwe inrichting,3,,Boterhamvaartweg,2,,7,AN,2030,Antwerpen,11807_G_1595_F_000_67,Boterhamvaartweg  2
319,20042,ioniserende stralingen klasse 3,3,,Edmond de Coussemakerstraat,1,,4,AN,2050,Antwerpen,11813_N_0833_G_000_00,Edmond de Coussemakerstraat  1
320,20043,ioniserende stralingen klasse 3,3,ITS Caleb Brett Belgium,Kruisschansweg,11,,,AN,2030,Antwerpen,11807_G_9999___000_00,Kruisschansweg  11
321,20044,ioniserende stralingen klasse 3,3,,Florent Pauwelslei,1,,,DE,2100,Antwerpen,11345_B_0223_B_005_00,Florent Pauwelslei  1
322,20045,ioniserende stralingen klasse 2 kleine verandering,2,Bayer Antwerpen,Scheldelaan,420,,,,2040,Antwerpen,11816_D_0081_H_000_02,Scheldelaan  420
323,20046,de exploitatie van een tijdelijke inrichting,1,,Noordersingel,5,,,BO,2140,Antwerpen,11312_A_0056_W_009_00,Noordersingel  5
324,20046,de exploitatie van een tijdelijke inrichting,1,,Noordersingel,5,,,BO,2140,Antwerpen,11312_A_0056_V_009_00,Noordersingel  5
325,20047,"de mededeling van een kleine verandering van een bestaande inrichting tweede klasse, omvattende",2,,Rooiplein,2,,,BE,2600,Antwerpen,11003_A_0334_C_000_00,Rooiplein  2
326,20048,"het veranderen van een inrichting, met precisering dat het betreft",1,Monsanto Europe,Scheldelaan,460,,,AN,2040,Antwerpen,11818_A_0162_P_000_00,Scheldelaan  460
327,20049,de exploitatie van een nieuwe inrichting,2,S.M.D. Carburants nv,Maria de Heeltstraat,54,,,DE,2100,Antwerpen,11342_A_0216_T_000_00,Maria de Heeltstraat  54
328,20051,ioniserende stralingen klasse 3,3,Altapra,Eliaertsstraat,15,,,BO,2140,Antwerpen,11006_A_0553_T_000_00,Eliaertsstraat  15
329,20051,ioniserende stralingen klasse 3,3,Altapra,Eliaertsstraat,15,,,BO,2140,Antwerpen,11006_A_0553_V_000_00,Eliaertsstraat  15
330,20052,de melding van een nieuwe inrichting,3,Merksemse Tennisclub,Rodeloopstraat,4,,,ME,2170,Antwerpen,11422_C_0112_F_000_00,Rodeloopstraat  4
