OGC_FID,dossiernr,voorwerp_van_aanvraag,klasse,naam_inrichting,straat_inrichting,huisnr_inrichting,huisnr_tot_inrichting,bus_inrichting,district_inrichting,postnr_inrichting,gemeente_inrichting,kadastergegevens,adres_nr
266,20004,bodemsanering,0,Vereniging van mede-eigenaars Residentie Malpertuus,Wouter Haecklaan,15,16,,DE,2100,Antwerpen,11345_B_0201_X_002_00,Wouter Haecklaan  15
267,20005,de exploitatie van een nieuwe inrichting,2,,Indiëstraat,10,,,AN,2000,Antwerpen,11807_G_0155_M_006_00,Indiëstraat  10
268,20006,"het veranderen van een inrichting, met precisering dat het betreft",1,,Beliweg,22,,,,2030,Antwerpen,11814_C_0070_G_000_00,Beliweg  22
269,20007,"de mededeling van een kleine verandering van een bestaande inrichting eerste of tweede klasse, omvattende",1,,Scheldelaan,2,4,,AN,2030,Antwerpen,11814_C_0065_G_000_00,Scheldelaan  2
270,20008,de exploitatie van een nieuwe inrichting,2,,Koordekenshoef,zn,,,AN,2030,Antwerpen,,Koordekenshoef  zn
271,20009,de exploitatie van een nieuwe inrichting,2,Grencobel,Slachthuislaan,72,,,AN,2060,Antwerpen,11805_E_0384_P_007_00,Slachthuislaan  72
272,20011,"het veranderen van een inrichting, met precisering dat het betreft",1,Degussa Antwerpen,Frans Tijsmanstunnel,,,,AN,2040,Antwerpen,11818_F_0114_B_000_00,
273,20011,"het veranderen van een inrichting, met precisering dat het betreft",1,Degussa Antwerpen,Frans Tijsmanstunnel,,,,AN,2040,Antwerpen,11818_F_0114_C_000_00,
274,20011,"het veranderen van een inrichting, met precisering dat het betreft",1,Degussa Antwerpen,Frans Tijsmanstunnel,,,,AN,2040,Antwerpen,11818_F_0114_D_000_00,
275,20012,de exploitatie van een nieuwe inrichting,2,Gemeentelijk Havenbedrijf,Siberiastraat,,,,AN,2030,Antwerpen,11807_G_1338_A_000_16,
276,20013,de melding van een nieuwe inrichting,3,Kunos,Bist,28b,,,EK,2180,Antwerpen,11364_F_0125_K_000_00,Bist  28b
